#NetworkNum	ID	MatchName	Solvent	AmbiguityScore	Hitscore	CoverageScore	MatchedConnections	UnmatchedConnections
Network28	bmse010499	lignin_cw_compound_3013	Acetone	0.833	0.25	1.0	CX1-CX2->C20-C37,	
Network29	bmse000023	D_tagatose	D2O	0.833	0.2	0.667	CX3-CX3->C8-C8,CX3-CX1->C8-C10,	CX2-CX3->?-?,
Network29	bmse000865	D_tagatose	D2O	0.833	0.2	0.667	CX3-CX3->C8-C8,CX3-CX1->C8-C10,	CX2-CX3->?-?,
Network30	bmse000015	D_glucose	D2O	1.0	0.2	1.0	CX2-CX1->C6-C5,	
Network30	bmse000018	D_mannose	D2O	1.0	0.2	1.0	CX2-CX1->C7-C6,	
Network30	bmse000023	D_tagatose	D2O	0.833	0.2	1.0	CX2-CX1->C8-C10,	
Network30	bmse000026	D_xylose	D2O	1.0	0.25	1.0	CX2-CX1->C5-C4,	
Network30	bmse000062	adonitol	D2O	0.0	0.25	1.0	CX2-CX1->C9-C7,	
Network30	bmse000068	L_arabitol	D2O	0.0	0.25	1.0	CX2-CX1->C7-C2,	
Network30	bmse000087	alpha_D_glucose_1_6_bisphosphate	D2O	0.0	0.2	1.0	CX2-CX1->C6-C5,	
Network30	bmse000095	i_erythritol	D2O	0.0	0.333	1.0	CX2-CX1->C5-C4,	
Network30	bmse000099	D_mannitol	D2O	0.0	0.2	1.0	CX2-CX1->C2-C3,	
Network30	bmse000100	meso_erythritol	D2O	0.0	0.333	1.0	CX2-CX1->C5-C4,	
Network30	bmse000115	D_sorbitol	D2O	1.0	0.2	1.0	CX2-CX1->C6-C5,	
Network30	bmse000121	L_threitol	D2O	0.0	0.333	1.0	CX2-CX1->C5-C4,	
Network30	bmse000129	xylitol	D2O	0.0	0.25	1.0	CX2-CX1->C5-C4,	
Network30	bmse000166	D_xylonate_cadmium	D2O	0.0	0.25	1.0	CX2-CX1->C7-C3,	
Network30	bmse000184	glycerol	D2O	0.0	0.5	1.0	CX2-CX1->C6-C1,	
Network30	bmse000855	D_glucose	D2O	1.0	0.2	1.0	CX2-CX1->C6-C5,	
Network30	bmse000856	glycerol	D2O	0.0	0.5	1.0	CX2-CX1->C6-C1,	
Network30	bmse000865	D_tagatose	D2O	0.833	0.2	1.0	CX2-CX1->C8-C10,	
Network30	bmse000869	L_arabitol	D2O	0.0	0.25	1.0	CX2-CX1->C7-C2,	
Network30	bmse000898	D_xylose	D2O	1.0	0.25	1.0	CX2-CX1->C5-C4,	
Network30	bmse001007	D_sorbitol	D2O	1.0	0.2	1.0	CX2-CX1->C6-C5,	
Network31	bmse000008	D_allose	D2O	0.667	0.2	1.0	CX2-CX1->C1-C4,	
Network31	bmse000010	D_fructose	D2O	1.0	0.2	1.0	CX2-CX1->C8-C11,	
Network31	bmse000013	D_galactose	D2O	1.0	0.2	1.0	CX2-CX1->C5-C6,	
Network31	bmse000018	D_mannose	D2O	1.0	0.2	1.0	CX2-CX1->C6-C7,	
Network31	bmse000022	D_sorbose	D2O	0.5	0.2	1.0	CX2-CX1->C10-C8,	
Network31	bmse000023	D_tagatose	D2O	0.833	0.2	1.0	CX2-CX1->C10-C8,	
Network31	bmse000062	adonitol	D2O	0.0	0.25	1.0	CX2-CX1->C7-C9,	
Network31	bmse000068	L_arabitol	D2O	0.0	0.25	1.0	CX2-CX1->C3-C7,	
Network31	bmse000084	gluconic_acid	D2O	0.0	1.0	1.0	CX2-CX1->C5-C6,	
Network31	bmse000087	alpha_D_glucose_1_6_bisphosphate	D2O	0.0	0.2	1.0	CX2-CX1->C5-C6,	
Network31	bmse000095	i_erythritol	D2O	0.0	0.333	1.0	CX2-CX1->C4-C5,	
Network31	bmse000099	D_mannitol	D2O	0.0	0.2	1.0	CX2-CX1->C3-C2,	
Network31	bmse000100	meso_erythritol	D2O	0.0	0.333	1.0	CX2-CX1->C4-C5,	
Network31	bmse000115	D_sorbitol	D2O	1.0	0.2	1.0	CX2-CX1->C5-C6,	
Network31	bmse000121	L_threitol	D2O	0.0	0.333	1.0	CX2-CX1->C4-C5,	
Network31	bmse000129	xylitol	D2O	0.0	0.25	1.0	CX2-CX1->C4-C5,	
Network31	bmse000184	glycerol	D2O	0.0	0.5	1.0	CX2-CX1->C1-C6,	
Network31	bmse000193	DL_alpha_glycerol_phosphate	D2O	0.0	0.5	1.0	CX2-CX1->C7-C10,	
Network31	bmse000230	D_glucono_1_5_lactone	D2O	0.0	1.0	1.0	CX2-CX1->C5-C6,	
Network31	bmse000235	L_gulonolactone	D2O	0.0	0.2	1.0	CX2-CX1->C4-C8,	
Network31	bmse000440	D_Glucosaminic_acid	D2O	0.0	0.2	1.0	CX2-CX1->C10-C12,	
Network31	bmse000856	glycerol	D2O	0.0	0.5	1.0	CX2-CX1->C1-C6,	
Network31	bmse000865	D_tagatose	D2O	0.833	0.2	1.0	CX2-CX1->C10-C8,	
Network31	bmse000869	L_arabitol	D2O	0.0	0.25	1.0	CX2-CX1->C3-C7,	
Network31	bmse000903	D_sorbose	D2O	0.5	0.2	1.0	CX2-CX1->C10-C8,	
Network31	bmse001005	D_fructose	D2O	1.0	0.2	1.0	CX2-CX1->C8-C11,	
Network31	bmse001006	D_galactose	D2O	1.0	0.2	1.0	CX2-CX1->C5-C6,	
Network31	bmse001007	D_sorbitol	D2O	1.0	0.2	1.0	CX2-CX1->C5-C6,	
Network31	bmse001008	D_allose	D2O	0.667	0.2	1.0	CX2-CX1->C1-C4,	
Network32	bmse000015	D_glucose	D2O	1.0	0.2	1.0	CX1-CX2->C6-C5,	
Network32	bmse000022	D_sorbose	D2O	0.5	0.2	1.0	CX1-CX2->C8-C10,	
Network32	bmse000026	D_xylose	D2O	1.0	0.25	1.0	CX1-CX2->C5-C4,	
Network32	bmse000062	adonitol	D2O	0.0	0.25	1.0	CX1-CX2->C9-C7,	
Network32	bmse000087	alpha_D_glucose_1_6_bisphosphate	D2O	0.0	0.2	1.0	CX1-CX2->C6-C5,	
Network32	bmse000095	i_erythritol	D2O	0.0	0.333	1.0	CX1-CX2->C5-C4,	
Network32	bmse000100	meso_erythritol	D2O	0.0	0.333	1.0	CX1-CX2->C5-C4,	
Network32	bmse000115	D_sorbitol	D2O	1.0	0.2	1.0	CX1-CX2->C6-C5,	
Network32	bmse000121	L_threitol	D2O	0.0	0.333	1.0	CX1-CX2->C5-C4,	
Network32	bmse000129	xylitol	D2O	0.0	0.25	1.0	CX1-CX2->C5-C4,	
Network32	bmse000166	D_xylonate_cadmium	D2O	0.0	0.25	1.0	CX1-CX2->C7-C3,	
Network32	bmse000184	glycerol	D2O	0.0	0.5	1.0	CX1-CX2->C6-C1,	
Network32	bmse000855	D_glucose	D2O	1.0	0.2	1.0	CX1-CX2->C6-C5,	
Network32	bmse000856	glycerol	D2O	0.0	0.5	1.0	CX1-CX2->C6-C1,	
Network32	bmse000898	D_xylose	D2O	1.0	0.25	1.0	CX1-CX2->C5-C4,	
Network32	bmse000903	D_sorbose	D2O	0.5	0.2	1.0	CX1-CX2->C8-C10,	
Network32	bmse001007	D_sorbitol	D2O	1.0	0.2	1.0	CX1-CX2->C6-C5,	
Network35	bmse000069	betaine	D2O	0.8	1.0	1.0	CX2-CX1->C3-C4,	
Network35	bmse000948	betaine	D2O	0.8	1.0	1.0	CX2-CX1->C3-C4,	
Network36	bmse000142	acetylcarnitine	D2O	0.0	0.5	1.0	CX1-CX2->C1-C2,	
Network37	bmse000087	alpha_D_glucose_1_6_bisphosphate	D2O	0.0	0.2	1.0	CX2-CX1->C4-C5,	
Network37	bmse000099	D_mannitol	D2O	0.0	0.2	1.0	CX2-CX1->C7-C9,	
Network37	bmse000151	alpha_D_galactose_1_phosphate	D2O	0.0	0.2	1.0	CX2-CX1->C2-C5,	
Network37	bmse000213	L_arabinose	D2O	0.0	0.25	1.0	CX2-CX1->C4-C3,	
Network37	bmse000228	polygalacturonic_acid	D2O	0.0	0.2	1.0	CX2-CX1->C4-C3,	
Network39	bmse000013	D_galactose	D2O	1.0	0.2	1.0	CX1-CX2->C2-C1,	
Network39	bmse000018	D_mannose	D2O	1.0	0.2	1.0	CX1-CX2->C3-C2,	
Network39	bmse001006	D_galactose	D2O	1.0	0.2	1.0	CX1-CX2->C2-C1,	
